place,link,type
BBQ Olive chicken,,eat
Hongdae Gaemi,,eat
James Cheese,,eat
Loun Shabu Shabu,,eat
Wondang Gamjatang,,eat
Bongchu Jjimdak,,eat
Marronnier,,serie
Mimiok,,serie
Cheonggyecheon Stream,,serie
Yangjae Flower Market Center,,serie
Yonsei University,,serie
Seuollo 7017,,serie
Blue House,,his
Deoksugung Palace,,his
Seoul Arts Center,,his
Sungkyunkwan University,,his
Leeum Museum of Art,,his
Jongmyo Shrine,,his
The Hyundai Seoul,,shop
Paju Premium Outlets,,shop
Samcheong-dong,,shop
Express Bus Terminal,,shop
Dongdaemun market,,shop
Gangnam-daero,,shop